,시도별,GRDP (국내총생산: 만 원),year,1인당_사교육비(만 원),인구수(명),교육 서비스업 사업체 수 (개),교육 서비스업 종사자 수 (명),학교 시설수 (개),학교 면적 (㎡),사교육 참여율(%)
0,서울,20857.0,2015,35.5,9904312.0,33618.0,341006.0,1285.0,33402201.0,74.3
1,부산,17044.0,2015,27.6,3448737.0,11748.0,98479.0,643.0,17248877.0,67.8
2,대구,17226.0,2015,26.8,2466052.0,10143.0,76527.0,496.0,11862672.0,71.3
3,인천,16598.0,2015,22.9,2890451.0,7378.0,71499.0,610.0,11906374.0,65.9
4,광주,17459.0,2015,27.2,1502881.0,6603.0,50523.0,312.0,9995315.0,68.8
5,대전,18229.0,2015,27.3,1538394.0,5472.0,55560.0,355.0,11165381.0,70.2
6,울산,21348.0,2015,26.2,1166615.0,4526.0,34124.0,291.0,6813637.0,69.6
7,세종,21957.0,2015,22.1,204088.0,484.0,7743.0,138.0,5788560.0,67.7
8,경기,18069.0,2015,30.0,12479061.0,40225.0,354110.0,2825.0,65350120.0,72.3
9,강원,16311.0,2015,21.2,1518040.0,5754.0,54092.0,711.0,24139264.0,62.2
10,충북,16531.0,2015,21.4,1589347.0,5362.0,50616.0,528.0,18077128.0,61.6
11,충남,16703.0,2015,19.9,2107802.0,6434.0,64178.0,724.0,25011844.0,61.2
12,전북,16239.0,2015,24.0,1834114.0,7494.0,61177.0,802.0,21154007.0,60.6
13,전남,16067.0,2015,21.2,1799044.0,6157.0,52730.0,938.0,23069769.0,59.6
14,경북,16550.0,2015,22.6,2680294.0,9395.0,78703.0,1006.0,35229479.0,64.5
15,경남,17411.0,2015,24.0,3334524.0,12452.0,92561.0,1092.0,26448751.0,66.9
16,제주,16685.0,2015,23.6,605619.0,2555.0,20220.0,202.0,6090723.0,64.2
17,서울,21295.0,2016,37.0,9805506.0,34074.0,336028.0,1282.0,33312089.0,73.7
18,부산,17525.0,2016,29.2,3440484.0,12077.0,101206.0,654.0,17189150.0,69.8
19,대구,17848.0,2016,26.3,2461002.0,10632.0,77322.0,497.0,11848373.0,68.9
20,인천,17222.0,2016,23.6,2913024.0,7708.0,70917.0,616.0,11989074.0,64.9
21,광주,18232.0,2016,25.1,1501557.0,6702.0,50593.0,312.0,10022113.0,64.8
22,대전,18741.0,2016,29.0,1535445.0,5597.0,55714.0,355.0,11166010.0,68.8
23,울산,21422.0,2016,25.5,1166033.0,4650.0,33942.0,289.0,6779105.0,68.1
24,세종,21000.0,2016,24.1,242507.0,613.0,8822.0,138.0,5777206.0,69.2
25,경기,18611.0,2016,29.7,12671956.0,42039.0,355536.0,2858.0,65713016.0,71.5
