,year,시도별,value,Indicator Name
0,2015,서울,386,해법수학 학원수
1,2015,인천,112,해법수학 학원수
2,2015,경기,861,해법수학 학원수
3,2015,부산,155,해법수학 학원수
4,2015,대구,85,해법수학 학원수
5,2015,광주,46,해법수학 학원수
6,2015,대전,35,해법수학 학원수
7,2015,울산,16,해법수학 학원수
8,2015,세종,25,해법수학 학원수
9,2015,강원,48,해법수학 학원수
10,2015,충북,49,해법수학 학원수
11,2015,충남,67,해법수학 학원수
12,2015,전북,59,해법수학 학원수
13,2015,전남,55,해법수학 학원수
14,2015,경북,123,해법수학 학원수
15,2015,경남,159,해법수학 학원수
16,2015,제주,15,해법수학 학원수
17,2016,서울,386,해법수학 학원수
18,2016,인천,112,해법수학 학원수
19,2016,경기,861,해법수학 학원수
20,2016,부산,155,해법수학 학원수
21,2016,대구,85,해법수학 학원수
22,2016,광주,46,해법수학 학원수
23,2016,대전,35,해법수학 학원수
24,2016,울산,16,해법수학 학원수
25,2016,세종,25,해법수학 학원수
26,2016,강원,48,해법수학 학원수
27,2016,충북,49,해법수학 학원수
28,2016,충남,67,해법수학 학원수
29,2016,전북,59,해법수학 학원수
30,2016,전남,55,해법수학 학원수
31,2016,경북,123,해법수학 학원수
32,2016,경남,159,해법수학 학원수
33,2016,제주,15,해법수학 학원수
34,2017,서울,386,해법수학 학원수
35,2017,인천,112,해법수학 학원수
36,2017,경기,861,해법수학 학원수
37,2017,부산,155,해법수학 학원수
38,2017,대구,85,해법수학 학원수
39,2017,광주,46,해법수학 학원수
40,2017,대전,35,해법수학 학원수
41,2017,울산,16,해법수학 학원수
42,2017,세종,25,해법수학 학원수
43,2017,강원,48,해법수학 학원수
44,2017,충북,49,해법수학 학원수
45,2017,충남,67,해법수학 학원수
46,2017,전북,59,해법수학 학원수
47,2017,전남,55,해법수학 학원수
48,2017,경북,123,해법수학 학원수
49,2017,경남,159,해법수학 학원수
50,2017,제주,15,해법수학 학원수
51,2018,서울,386,해법수학 학원수
52,2018,인천,112,해법수학 학원수
53,2018,경기,861,해법수학 학원수
54,2018,부산,155,해법수학 학원수
55,2018,대구,85,해법수학 학원수
56,2018,광주,46,해법수학 학원수
57,2018,대전,35,해법수학 학원수
58,2018,울산,16,해법수학 학원수
59,2018,세종,25,해법수학 학원수
60,2018,강원,48,해법수학 학원수
61,2018,충북,49,해법수학 학원수
62,2018,충남,67,해법수학 학원수
63,2018,전북,59,해법수학 학원수
64,2018,전남,55,해법수학 학원수
65,2018,경북,123,해법수학 학원수
66,2018,경남,159,해법수학 학원수
67,2018,제주,15,해법수학 학원수
68,2019,서울,386,해법수학 학원수
69,2019,인천,112,해법수학 학원수
70,2019,경기,861,해법수학 학원수
71,2019,부산,155,해법수학 학원수
72,2019,대구,85,해법수학 학원수
