,woongjin
0,"충청북도 청주시 흥덕구 서현로32, 가경자이프라자 401호"
1,충청북도 청주시 흥덕구 가경로 123 한국빌딩 501호
2,"대전광역시 서구 가수원로 83, 모아드림아파트 상가동 105호"
3,대전광역시 동구 동구청로 89-16 유미빌딩 3층
4,경상남도 창원시 성산구 대정로 36 가음정종합상가 제3층 5호
5,세종특별자치시 달빛로 47(종촌동97-2) 종촌파크프라자 401호
6,서울특별시 서대문구 남가좌동381 DMC센트레빌상가3동 지1층3-11~14호
7,인천광역시 서구 가정로 411(신현동 302-2) 오투오프라자 4층
8,"경상남도 진주시 진주역로 95번길25(가좌동1978-1) , NK빌딩 502호"
9,"경상북도 영주시 대동로 52번길 3, 강경일빌딩 1층"
10,인천광역시 남동구 인천광역시 남동구 간석동 616-6(간석한신더휴 상가동)201호
11,강원도 홍천군 홍천읍 갈마로7길 8 (갈마곡리243-4) 함정식건물 2층
12,경기도 구리시 갈매순환로 92 퍼스트프라자 302호
13,"인천광역시 부평구 주부토로 183, 대명프라자 302호"
14,서울특별시 은평구 연서로 27길 25 대건빌딩 3층
15,서울특별시 은평구 연서로29길 34(갈현동430-12) 연우빌딩 2층
16,대구광역시 달서구 장기로 242-7 허정빌딩 2층
17,경기도 김포시 북변동690번지 산호@상가 307호
18,경기도 김포시 봉화로182번길 26 601호
19,충청남도 논산시 시민로295번길 4 (내동1039) 임희철건물 2층
20,서울특별시 강서구 화곡로258 대한빌딩 6층
21,"서울특별시 강남구 선릉로 30 개포빌딩 303호, 303-1호, 304-1호"
22,경기도 김포시 걸포2로 45(걸포동 262-1) Pine STAT4빌딩 401~403호
23,전라북도 김제시 도작로 104(검산동912-19) 전원빌딩 3층
24,경상남도 김해시 계동로 21(관동동451-1) 관동프라자 502호
25,"경상남도 거제시 경상남도 거제시 거제중앙로1817(고현동170-2) , 운정빌딩2층"
26,서울특별시 강동구 동남로82길121 3층
27,세종특별자치시 고운서길 10(고운동1713) 대현빌딩 501호
28,서울특별시 구로구 고척동 169-8 오토젠빌딩 4층
29,"경기도 김포시 고촌읍 수기로115, 센트럴타워 6층 604-1호"
30,"경기도 김포시 고촌읍 수기로 109(신곡리880-1) , 고촌캐슬힐507호"
31,경상남도 거제시 중곡로 40(고현동1039) 덕산베스트타운1차 상가 205~6호
32,"서울특별시 노원구 동일로1053, 영진빌딩 5층"
33,"충청남도 공주시 한적1길 2, 신관빌딩 4층"
34,"경기도 안산시 단원구 원선로 53(원곡동822) , 구분상가3층"
35,경기도 안양시 동안구 부림로 188 청용빌딩 4층
36,"충청남도 논산시 관촉로 279 ( 취암동 1041-3) , 2층"
37,대전광역시 유성구 관평2로 48 한호빌딩 4층
38,경기도 광명시 도덕로 34 이앤한빌딩 501호
39,부산광역시 수영구 광안로27 명인빌딩 3층
40,"전라남도 광양시 광양읍 와룡길 19, 1층"
41,광주광역시 북구 매곡로 85 매곡프라자빌딩 302호
42,"서울특별시 광진구 광나루로 590(구의동202-6) , 아산빌딩2층"
43,부산광역시 사하구 낙동대로 154(괴정동 310-4 외3)상록프라자 B동 3층
44,부산광역시 사하구 부산광역시 사하구 사리로 22(괴정동 296-1) 지광베르디아 203호
45,강원도 속초시 미시령로 3359번길 28 이우프라자 2층
46,경기도 파주시 파주로 266(동패동1695-1) 아이비타워 6층
