,0,1,2
0,287248,효천점,"전북 전주시 완산구 효천중앙로 57 (효자동2가, 모악빌딩)"
1,287249,효천우미린2차점,전북 전주시 완산구 효천서로 20
2,287250,효천연세수학점,전북 전주시 완산구 효천서로 20
3,287251,효자포스코,전북 전주시 완산구 봉곡로 132
4,287252,효자세븐팰리스점,"전북 전주시 완산구 호암로 75-11 (효자동2가, 7단지아파트상가)"
5,287253,효자문학점,"전북 전주시 완산구 유연로 217-11 (효자동3가, 호반베르디움아파트 상가)"
6,287254,효자골든팰리스점,"전북 전주시 완산구 호암로 40 (효자동2가, 골든팰리스휴먼시아아파트)"
7,287255,화천 사내교실점,강원 화천군 사내면 포화로 1142 (사창리)
8,287256,화일 캠퍼스,서울 강서구 까치산로4길 50 (화곡동)
9,287257,화성지사직영점,경기 화성시 동탄기흥로 557
10,287258,화성시 동탄화남초점,경기 화성시 동탄순환대로4길 11 (장지동)
11,287259,화성메이루즈점,"경기 화성시 동탄숲속로 95 (능동, 숲속마을광명메이루즈아파트)"
12,287260,화성 호수아이파크점,"경기 화성시 동탄순환대로8길 14 (장지동, 동탄호수공원아이파크)"
13,287261,화성 호수 하우스디점,"경기 화성시 동탄대로1길 66 (장지동, LH동탄호수 하우스디)"
14,287262,화성 호수 공원점,"경기 화성시 동탄순환대로 127-23 (산척동, 우성에듀파크)"
15,287263,화성 현대 아이파크점,"경기 화성시 동탄반석로 193 (반송동, 동탄시범한빛마을 동탄아이파크)"
16,287264,화성 향남화원초점,"경기 화성시 향남읍 하길로 69 (하길리, 오색마을 사랑으로부영9단지아파트)"
17,287265,화성 향남하길초점,경기 화성시 향남읍 상신하길로273번길 57 (하길리)
18,287266,화성 향남 행정초점,경기 화성시 향남읍 행정동로 17 (행정리)
19,287267,화성 향남 상신초점,"경기 화성시 향남읍 상신하길로 65 (상신리, 언덕마을 사랑으로부영 17단지아파트)"
20,287268,화성 향남 부영7단지점,"경기 화성시 향남읍 상신하길로274번길 21 (하길리, 서봉마을 사랑으로부영7단지아파트)"
21,287269,화성 향남 배움트리점,경기 화성시 향남읍 행정중앙2로 63-3
22,287270,화성 향남 7단지점,"경기 화성시 향남읍 상신하길로274번길 21 (하길리, 화성향남서봉마을사랑으로부영7단지)"
